Date,Open,High,Low,Close,Adj Close,Volume
2021-06-23,3505.000000,3521.000000,3483.199951,3503.820068,3503.820068,2813300
2021-06-24,3507.639893,3524.860107,3430.850098,3449.080078,3449.080078,3832000
2021-06-25,3464.000000,3464.820068,3394.179932,3401.459961,3401.459961,3941000
2021-06-28,3416.000000,3448.000000,3413.510010,3443.889893,3443.889893,2242800
2021-06-29,3438.820068,3456.030029,3423.030029,3448.139893,3448.139893,2098400
2021-06-30,3441.060059,3471.600098,3435.000000,3440.159912,3440.159912,2404000
2021-07-01,3434.610107,3457.000000,3409.419922,3432.969971,3432.969971,2037100
2021-07-02,3451.639893,3511.719971,3436.919922,3510.979980,3510.979980,3169400
2021-07-06,3530.110107,3685.479980,3529.000000,3675.739990,3675.739990,6744800
2021-07-07,3717.379883,3734.199951,3678.909912,3696.580078,3696.580078,5328100
2021-07-08,3643.560059,3759.989990,3621.120117,3731.409912,3731.409912,5180600
2021-07-09,3722.520020,3748.000000,3693.399902,3719.340088,3719.340088,3748200
2021-07-12,3744.000000,3757.290039,3696.790039,3718.550049,3718.550049,2571600
2021-07-13,3702.100098,3773.080078,3671.320068,3677.360107,3677.360107,3845900
2021-07-14,3708.850098,3717.659912,3660.830078,3681.679932,3681.679932,3296600
2021-07-15,3694.199951,3695.399902,3620.919922,3631.199951,3631.199951,3185300
2021-07-16,3633.310059,3646.060059,3570.459961,3573.629883,3573.629883,4043700
2021-07-19,3532.580078,3550.209961,3499.159912,3549.590088,3549.590088,3784600
2021-07-20,3567.320068,3592.000000,3518.000000,3573.189941,3573.189941,3255700
2021-07-21,3576.379883,3586.449951,3543.639893,3585.199951,3585.199951,2319000
2021-07-22,3587.229980,3640.020020,3582.270020,3638.030029,3638.030029,3265400
2021-07-23,3640.000000,3666.110107,3622.040039,3656.639893,3656.639893,2436300
2021-07-26,3673.169922,3712.080078,3647.250000,3699.820068,3699.820068,2900100
2021-07-27,3698.500000,3698.500000,3586.149902,3626.389893,3626.389893,4131900
2021-07-28,3633.780029,3658.419922,3601.000000,3630.320068,3630.320068,2999400
2021-07-29,3627.750000,3637.949951,3580.010010,3599.919922,3599.919922,5520000
2021-07-30,3347.949951,3368.139893,3306.979980,3327.590088,3327.590088,9957100
2021-08-02,3353.100098,3358.919922,3317.000000,3331.479980,3331.479980,3353900
2021-08-03,3340.719971,3391.000000,3299.770020,3366.239990,3366.239990,4157300
2021-08-04,3379.350098,3388.879883,3345.560059,3354.719971,3354.719971,2183900
2021-08-05,3356.219971,3389.000000,3340.919922,3375.989990,3375.989990,2433500
2021-08-06,3375.000000,3375.000000,3329.040039,3344.939941,3344.939941,2635300
2021-08-09,3343.610107,3354.879883,3328.520020,3341.870117,3341.870117,2148200
2021-08-10,3345.010010,3358.000000,3315.000000,3320.679932,3320.679932,2412600
2021-08-11,3331.449951,3337.699951,3277.790039,3292.110107,3292.110107,2947200
2021-08-12,3290.000000,3314.510010,3269.669922,3303.500000,3303.500000,2314100
2021-08-13,3305.669922,3306.070068,3283.000000,3293.969971,3293.969971,2052800
2021-08-16,3283.000000,3300.000000,3211.129883,3298.989990,3298.989990,3319700
2021-08-17,3277.500000,3280.489990,3225.679932,3241.959961,3241.959961,3387900
2021-08-18,3241.989990,3254.100098,3200.000000,3201.219971,3201.219971,2804300
2021-08-19,3194.020020,3233.000000,3182.459961,3187.750000,3187.750000,3782900
2021-08-20,3203.870117,3207.810059,3175.760010,3199.949951,3199.949951,3341200
2021-08-23,3211.899902,3280.899902,3210.010010,3265.870117,3265.870117,3268100
2021-08-24,3280.000000,3315.489990,3274.580078,3305.780029,3305.780029,2551800
2021-08-25,3309.870117,3321.000000,3286.149902,3299.179932,3299.179932,1680300
2021-08-26,3299.000000,3332.000000,3296.000000,3316.000000,3316.000000,2098800
2021-08-27,3333.229980,3352.320068,3313.750000,3349.629883,3349.629883,2391300
2021-08-30,3357.429932,3445.000000,3355.219971,3421.570068,3421.570068,3192200
2021-08-31,3424.800049,3472.580078,3395.590088,3470.790039,3470.790039,4356400
2021-09-01,3496.399902,3527.000000,3475.239990,3479.000000,3479.000000,3629900
2021-09-02,3494.760010,3511.959961,3455.000000,3463.120117,3463.120117,2923700
2021-09-03,3452.000000,3482.669922,3436.439941,3478.050049,3478.050049,2575700
2021-09-07,3478.000000,3528.090088,3476.939941,3509.290039,3509.290039,2737900
2021-09-08,3511.649902,3545.629883,3495.669922,3525.500000,3525.500000,3053400
2021-09-09,3526.020020,3549.989990,3480.370117,3484.159912,3484.159912,2719200
2021-09-10,3501.830078,3508.449951,3462.909912,3469.149902,3469.149902,2393300
2021-09-13,3482.800049,3497.959961,3438.000000,3457.169922,3457.169922,2569000
2021-09-14,3475.550049,3486.810059,3437.709961,3450.000000,3450.000000,1936900
2021-09-15,3442.520020,3485.419922,3402.010010,3475.790039,3475.790039,2957500
2021-09-16,3459.959961,3492.550049,3446.139893,3488.239990,3488.239990,2583600
2021-09-17,3488.409912,3497.409912,3452.129883,3462.520020,3462.520020,4614100
2021-09-20,3396.000000,3419.000000,3305.010010,3355.729980,3355.729980,4669100
2021-09-21,3375.000000,3379.699951,3332.389893,3343.629883,3343.629883,2780900
2021-09-22,3351.000000,3389.000000,3341.050049,3380.050049,3380.050049,2406200
